Buffalo,Pig,Grazing,Weed
0.149669539,0.78697209,0.292127295,1.717095851
0.250741367,0.659207143,0.125211284,0
0.405995548,0.533687697,0.122257271,0
0.277163004,1.457340954,0.244788787,3.17977491
0.253469996,1.332761589,0.379039119,2.907954965
0.165988558,0.436389273,0.416688636,1.904317115
0.178684379,0.234883498,0.365679023,0
0.163136068,0.428889985,0.424728999,11.22955017
0.082247736,0.432463904,0.091968343,0.943593789
0.395937136,1.040931504,0.112571332,27.25452437
0.007602143,0.039972557,0.503700517,0.087216196
0.09633516,0.506536486,0.269859408,1.105212891
0.141010647,0.74144308,0.471108114,1.617756021
0.284441293,0.373902668,0.251700495,0
0.221149268,0.58140856,0.528651205,0
0.192949382,1.0145403,0.084421946,2.213627347
0.124194382,0.653022072,0.252103637,1.42483006
0.019551451,0.10280279,0.09796877,0.224305596
0.10863215,0.571194854,0.502523434,1.246291104
0.067335067,0.354052125,0.064208643,0.772506983
0.185708353,0.48823325,0.331481801,0
0.204121363,0.268320825,0.116384115,0
0.098914911,0.520100981,0.476324915,1.134809288
0.284821161,0.748804019,0.46725218,0
0.023502787,0.030894792,0.147806009,0
0.257715401,1.355084207,0.316628641,2.956660725
0.30743854,1.616531676,0.114249812,3.52711344
0.168510837,0.221510213,0.531637435,0
0.140992993,0.185337563,0.345508406,0
0.399457489,0.525093312,0.508654987,0
0.035393306,0.186100284,0.139833228,0.406052553
0.084553308,0.444586748,0.479300944,0.970044643
0.051144415,0.268920635,0.474763866,0.586758429
0.018924462,0.09950604,0.317096141,0.217112413
0.167793056,0.882266713,0.667898028,1.925019365
0.324056887,1.703912021,0.178447134,3.717768775
0.136477643,0.71760825,0.210594109,1.565750761
0.090489955,0.47580202,0.559438601,1.038153303
0.22458551,1.180885099,0.214869049,2.576575371
0.036887447,0.193956578,0.085085448,0.423194215
0.128841831,0.338729329,0.158539013,1.478148292
0.081650094,0.429321463,0.05056299,0.936737291
0.18883437,0.992903302,0.070637437,2.166417542
0.143043962,0.376067191,0.289861645,0
0.220416363,0.289740864,0.036919567,0
0.186688486,0.981620101,0.395848503,2.141798706
0.141886685,0.186512335,0.104017766,0
0.005902852,0.015518789,0.19150388,0
0.292374732,0.768662603,0.178456684,0
0.051314727,0.067454037,0.522349804,0
0.084311594,0.221657901,0.036919174,0
0.124192084,0.326504994,0.107646904,1.424803694
0.004805677,0.025268562,0.365290831,0.055133521
0.22634869,1.190156017,0.080405667,2.596803604
0.3139731,1.650890815,0.235633373,0
0.392779539,0.51631504,0.346028918,0
0.321437831,0.422535213,0.07388659,0
0.004019986,0.005284337,0.090063147,0
0.091189357,0.23973976,0.382888262,1.046177247
0.092683618,0.48733644,0.507987493,1.063320276
0.059020791,0.155167562,0.526669666,0.677120779
0.113782854,0.299138795,0.073883367,0
0.343836789,1.807916022,0.064203134,0
0.097115999,0.510642189,0.338736847,0
0.18333864,0.964006396,0.252858193,2.103367331
0.001549879,0.008149362,0.17443358,0.017781107
0.004339446,0.022817088,0.197736621,0.049784646
0.081472283,0.42838652,0.643100158,0.934697336
0.091558049,0.481418127,0.033797394,1.050407098
0.093394539,0.491074514,0.271315336,0
0.081629641,0.429213917,0.16136409,0
0.079445432,0.417729207,0.080350144,0.911444126
0.240787108,1.26607415,0.329996944,0
0.166656489,0.876290572,0.109183995,1.911980011
0.00465588,0.024480916,0.772416867,0.053414955
0.101622351,0.534336878,0.101931362,1.165870618
0.08946389,0.470406904,0.437473438,1.02638169
0.090264164,0.474614799,0.164755888,1.035562905
0.132473354,0.696553444,0.139662072,0
0.050120192,0.263535203,0.208300357,0.575007944
0.030234721,0.158976113,0.034102034,0.346870274
0.027908727,0.146745887,0.070645207,0.32018512
0.09518836,0.500506538,0.072718334,0
0.075890319,0.199518096,0.319286765,0
0.410952681,2.160815709,0.122087946,4.714687773
0.082381743,0.216584261,0.080360841,0
0.146050662,0.767943803,0.356524279,0
0.084781044,0.445784199,0.68040738,0
