FaunalGroup,Threat,Intensity,EcologicalGroup,PP_BestGuess,norm_Lb,norm_Ub
1,4,3,1,0.660,0.342,0.886
1,4,3,2,0.560,0.261,0.832
1,4,3,3,0.580,0.334,0.846
1,4,3,4,0.600,0.348,0.836
1,4,3,5,0.630,0.367,0.810
1,4,3,6,0.540,0.246,0.810
2,4,1,1,0.875,0.776470588,0.958529412
2,4,1,2,0.875,0.770701357,0.961029412
2,4,1,3,0.875,0.77289916,0.961029412
2,4,1,4,0.875,0.796428571,0.961029412
2,4,1,5,0.875,0.791666667,0.961029412
2,4,1,6,0.875,0.770701357,0.961029412
2,4,2,1,0.775,0.651470588,0.861029412
2,4,2,2,0.775,0.641666667,0.883333333
2,4,2,3,0.75,0.590897436,0.857435897
2,4,2,4,0.775,0.619230769,0.868269231
2,4,2,5,0.775,0.644230769,0.868269231
2,4,2,6,0.75,0.588333333,0.8475
2,4,3,1,0.625,0.462619048,0.783809524
2,4,3,2,0.6375,0.469349817,0.748507326
2,4,3,3,0.575,0.382960928,0.70545177
2,4,3,4,0.575,0.407063492,0.763253968
2,4,3,5,0.6,0.436294261,0.753785104
2,4,3,6,0.55,0.384627595,0.751074481
3,4,1,1,0.85,0.667857143,0.982142857
3,4,1,2,0.85,0.667857143,0.982142857
3,4,1,3,0.85,0.717857143,0.982142857
3,4,1,4,0.85,0.717857143,0.982142857
3,4,1,5,0.85,0.717857143,0.982142857
3,4,1,6,0.85,0.717857143,0.953571429
3,4,2,1,0.6125,0.40297619,0.84702381
3,4,2,2,0.675,0.489285714,0.867857143
3,4,2,3,0.7,0.514285714,0.882142857
3,4,2,4,0.6875,0.544642857,0.855357143
3,4,2,5,0.725,0.542857143,0.882142857
3,4,2,6,0.675,0.492857143,0.853571429
3,4,3,1,0.375,0.194444444,0.542857143
3,4,3,2,0.4,0.219444444,0.592857143
3,4,3,3,0.45,0.25,0.612698413
3,4,3,4,0.525,0.295060332,0.687535014
3,4,3,5,0.475,0.314803922,0.665868347
3,4,3,6,0.375,0.221078431,0.630182073
